leg,freq,amp,extension,extensionrelax,contraction,contractionrelax,EXT/CONT,masterval
4,500,0.5,74.746,49.443,0,74.746,74.746,74.746
4,700,0.5,0.16081,0.16081,-0.13671,0.16081,0.0241,0.16081
4,900,0.5,0.2386,0.2386,-0.34291,0.2386,-0.10431,-0.34291
4,1100,0.5,0,-0.19858,-0.19858,0,-0.19858,-0.19858
4,1400,0.5,0.20538,-0.44088,-0.44088,0.14487,-0.2355,-0.44088
5,500,0.5,1.3849,-0.27769,-0.53515,1.3849,0.84975,1.3849
5,700,0.5,5.8355,-0.56329,-0.56329,-0.23365,5.27221,5.8355
5,900,0.5,6.53,-0.53093,-0.53093,6.0472,5.99907,6.53
5,1100,0.5,4.821,-0.019206,-0.019206,4.821,4.801794,4.821
5,1400,0.5,5.7106,0.28792,0,5.7106,5.7106,5.7106
4,700,1,87.102,54.004,-0.22336,87.102,86.87864,87.102
4,900,1,78.042,55.943,0,78.042,78.042,78.042
4,1100,1,75.886,64.247,0,75.886,75.886,75.886
4,1400,1,64.876,51.439,-11.255,64.876,53.621,64.876
5,500,1,0.2473,-17.811,-17.811,0.2473,-17.5637,-17.811
5,700,1,26.712,8.7598,-0.0044057,26.712,26.7075943,26.712
5,900,1,19.663,9.1043,-0.25257,19.663,19.41043,19.663
5,1100,1,19.712,-6.8804,-6.8804,19.107,12.8316,19.712
5,1400,1,9.578,-0.27946,-0.83171,9.578,8.74629,9.578
4,500,1.5,2.388,-2.6993,-2.6993,1.2606,-0.3113,-2.6993
4,700,1.5,0,-49.797,-49.797,-43.593,-49.797,-49.797
4,900,1.5,8.54E-07,-54.844,-54.844,-48.825,-54.84399915,-54.844
4,1100,1.5,0,-38.966,-38.966,-37.354,-38.966,-38.966
4,1400,1.5,57.745,13.692,-0.0021381,57.745,57.7428619,57.745
5,500,1.5,1.21E-06,-15.548,-15.548,-8.438,-15.54799879,-15.548
5,700,1.5,3.5481,-22.599,-22.599,0.49413,-19.0509,-22.599
5,900,1.5,22.329,11.596,0,22.329,22.329,22.329
5,1100,1.5,23.798,12.917,1.21E-06,23.798,23.79799879,23.798
5,1400,1.5,74.155,55.525,0,74.155,74.155,74.155