leg,vid,ext,extrel,cont,contrel
10,1,7.3162,-24.056,-24.056,-16.659
10,2,10.618,-10.946,-10.946,-5.9201
10,3,7.7502,6.2183,-4.5175,7.7502
10,4,9.2718,-4.6549,-4.6549,5.1921
10,5,7.9122,-9.8679,-9.8679,2.8734
10,6,4.6886,-9.6182,-9.6182,-1.9743
9,1,16.275,3.0538,-1.0438,16.275
9,2,15.558,2.5065,-0.24035,15.558
9,3,16.012,3.6756,-0.14505,16.012
9,4,17.008,2.0735,-0.023985,17.008
9,5,16.091,-0.24303,-0.49012,16.091
9,6,16.068,-0.35183,-0.35183,0.25158
9,7,18.987,0.44384,-0.21452,18.987